id,host_resp_rate_pct,host_accept_rate_pct,host_listings_count,latitude,longitude,accommodates,bedrooms,beds,price_usd,minimum_nights,maximum_nights,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month,clusters,cluster
1094207,88,50,1,37.7603,-122.42256,2,1.0,2.0,100.0,30,120,29,59,89,179,51,1,0,4.79,4.87,4.74,4.8,4.78,4.91,4.72,1,1,0,0,0.44,1,pink
1094481,100,60,1,37.73888,-122.41516,2,1.0,1.0,96.0,30,90,8,38,68,68,176,0,0,4.91,4.9,4.97,4.97,4.97,4.73,4.89,1,1,0,0,1.51,1,pink
1094764,100,62,3,37.78814,-122.46547,2,1.0,1.0,150.0,30,180,0,0,29,304,1,0,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2,2,0,0,0.08,1,pink
1101403,88,88,2,37.76761,-122.42474,5,2.0,3.0,275.0,2,1124,0,0,0,0,38,0,0,4.95,4.92,4.83,4.86,4.97,4.81,4.75,2,1,1,0,0.33,1,pink
1104912,100,100,1,37.7774,-122.50255,4,1.0,2.0,142.0,2,1125,23,53,83,173,264,40,1,4.42,4.63,4.43,4.88,4.76,4.74,4.44,1,1,0,0,2.99,1,pink
1106534,100,100,1,37.74498,-122.4367,5,2.0,3.0,195.0,30,1125,11,12,36,269,100,1,0,4.77,4.8,4.85,4.9,4.93,4.76,4.72,1,1,0,0,0.87,1,pink
1110001,100,69,2,37.74178,-122.43014,2,1.0,1.0,215.0,30,90,0,0,0,0,85,0,0,4.89,4.93,4.7,4.98,4.99,4.9,4.82,2,2,0,0,0.75,1,pink
1123125,100,99,2,37.75995,-122.39668,2,1.0,1.0,180.0,2,28,3,19,49,226,169,48,1,4.97,4.93,4.92,4.94,4.95,4.98,4.88,2,0,2,0,2.92,1,pink
1125079,100,77,5,37.73394,-122.46323,2,1.0,1.0,72.0,15,30,27,57,87,362,168,2,0,4.7,4.8,4.81,4.74,4.81,4.8,4.71,5,0,5,0,1.45,1,pink
1125115,100,77,5,37.73561,-122.46407,1,1.0,1.0,65.0,15,30,27,57,87,362,170,0,0,4.79,4.82,4.91,4.83,4.9,4.8,4.79,5,0,5,0,1.47,1,pink
1135632,100,92,1,37.75796,-122.41239,2,1.0,1.0,179.0,3,28,26,52,82,84,38,7,0,4.76,4.95,4.84,4.68,4.76,4.73,4.65,1,0,1,0,0.33,1,pink
1138764,100,93,2,37.78457,-122.39989,2,1.0,1.0,290.0,2,300,30,55,85,85,19,2,0,4.84,4.84,4.47,4.95,5.0,4.89,4.42,2,0,2,0,0.16,1,pink
1141986,88,88,2,37.77995,-122.40178,4,1.0,3.0,90.0,360,360,30,60,90,365,39,0,0,4.22,4.48,4.71,4.68,4.65,3.84,4.35,2,2,0,0,0.34,1,pink
1148370,88,100,1,37.7435,-122.48473,2,1.0,1.0,67.0,31,1125,16,46,76,351,39,3,0,4.41,4.68,4.11,4.79,4.84,4.29,4.47,1,1,0,0,0.34,1,pink
