id,host_id,host_since,host_response_time,host_resp_rate_pct,host_accept_rate_pct,host_is_superhost,host_listings_count,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms_text,bedrooms,beds,price_usd,minimum_nights,maximum_nights,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month,review_category
27832283,56398946,2016-01-27,within a few hours,100,88,t,3,t,t,Outer Richmond,37.77817,-122.50428,Private room in home,Private room,2,1 private bath,1.0,1.0,89.0,2,29,t,15,40,57,297,233,36,3,2018-09-07,2022-11-20,4.77,4.88,4.8,4.76,4.8,4.87,4.78,f,3,0,3,0,4.51,excellent
27852325,162137718,2017-12-10,within an hour,100,100,t,1,t,t,Outer Richmond,37.77956,-122.5079,Private room in home,Private room,2,1 private bath,1.0,1.0,129.0,1,28,t,4,5,35,125,328,72,0,2018-09-02,2022-10-18,4.99,4.98,4.98,4.99,5.0,4.96,4.93,f,1,0,1,0,6.33,excellent
27857184,200417396,2018-07-06,within an hour,100,100,t,2,t,t,Inner Richmond,37.78047,-122.46798,Entire rental unit,Entire home/apt,6,1.5 baths,2.0,3.0,282.0,2,1125,t,12,22,52,81,234,57,3,2018-08-22,2022-11-14,4.93,4.95,4.97,4.97,4.96,4.82,4.78,f,2,2,0,0,4.48,excellent
27866104,62034618,2016-03-07,within an hour,100,84,t,21,t,t,Outer Sunset,37.76311,-122.47783,Private room in rental unit,Private room,2,1 shared bath,1.0,1.0,53.0,30,90,t,30,60,90,365,5,0,0,2019-04-20,2020-11-05,3.8,3.8,3.8,5.0,4.0,5.0,4.2,f,20,6,14,0,0.11,average
27895671,486224889,2022-11-03,Unknown,88,88,f,1,t,f,Noe Valley,37.74755,-122.43257,Entire in-law,Entire home/apt,2,1 bath,1.0,1.0,113.0,2,30,t,2,24,47,313,229,67,4,2018-08-29,2022-11-20,4.88,4.95,4.89,4.96,4.94,4.92,4.77,t,1,1,0,0,4.41,excellent
27898470,700638,2011-06-14,Unknown,88,88,f,1,t,t,Mission,37.76371,-122.413,Entire loft,Entire home/apt,4,1.5 baths,1.0,2.0,150.0,30,1125,t,0,0,0,0,1,0,0,2018-10-31,2018-10-31,4.0,5.0,5.0,5.0,5.0,5.0,5.0,f,1,1,0,0,0.02,average
27899334,1996629,2012-03-23,within an hour,100,100,f,6,t,t,Bernal Heights,37.73568,-122.42522,Entire home,Entire home/apt,8,3.5 baths,4.0,4.0,342.0,1,30,t,11,28,51,201,12,8,0,2018-09-29,2022-10-20,4.92,5.0,4.83,5.0,4.92,4.67,4.58,f,6,3,3,0,0.24,excellent
27905010,20169016,2014-08-17,within an hour,100,99,t,5,t,t,Pacific Heights,37.78963,-122.446,Private room in home,Private room,2,1 private bath,1.0,1.0,205.0,3,15,t,14,36,59,309,75,20,1,2018-09-12,2022-11-13,4.93,4.96,5.0,5.0,4.96,4.82,4.75,f,5,1,4,0,1.46,excellent
27928375,20169016,2014-08-17,within an hour,100,99,t,5,t,t,Pacific Heights,37.78954,-122.44656,Private room in home,Private room,2,1 shared bath,1.0,1.0,142.0,3,15,t,12,37,67,342,63,14,0,2018-09-12,2022-10-18,4.89,4.97,4.98,4.95,4.95,4.95,4.68,f,5,1,4,0,1.22,excellent
27933930,157329441,2017-11-03,within an hour,100,95,t,1,t,f,West of Twin Peaks,37.7421,-122.46293,Entire guest suite,Entire home/apt,2,1 bath,1.55,1.0,105.0,3,45,t,18,48,78,168,145,45,5,2018-12-27,2022-11-28,4.94,4.96,4.99,4.97,4.97,4.92,4.82,f,1,1,0,0,3.02,excellent
